#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       12600       7.659853e-02       5.266769e-03       3.730807e-02       4.589492e-01       1.992597e-02       1.568288e-01
       12700       3.386285e-02       4.448727e-03       1.756025e-02       3.618966e-01       1.306321e-02       1.067167e-01
       12800       4.407999e-02       7.302244e-03       2.218200e-02       2.907387e-01       1.286714e-02       9.873662e-02
       12900       1.295106e-01       3.848183e-03       6.780786e-02       1.891624e+00       1.718675e-02       2.138032e-01
       13000       3.417928e-02       3.011562e-03       1.988964e-02       5.052882e-01       1.687555e-02       1.062068e-01
       13100       1.807742e-02       1.220478e-03       1.081528e-02       1.306039e-01       1.141938e-02       5.541012e-02
       13200       3.448763e-02       8.823767e-03       2.148410e-02       4.673835e-01       8.503113e-03       9.378077e-02
       13300       5.604951e-02       7.385693e-03       3.320269e-02       8.105197e-01       1.646947e-02       1.304459e-01
       13400       4.122181e-02       7.614051e-03       2.078388e-02       3.318181e-01       1.325244e-02       8.939714e-02
       13500       4.058857e-02       2.709547e-03       2.131857e-02       5.027081e-01       1.438623e-02       9.541313e-02
       13600       3.729013e-02       6.046548e-03       1.944019e-02       5.082786e-01       1.695664e-02       1.068911e-01
       13700       4.224066e-02       8.919601e-03       2.421638e-02       4.202076e-01       1.919263e-02       1.088390e-01
       13800       1.875462e-01       1.164654e-02       9.702933e-02       2.036981e+00       1.689938e-02       3.351249e-01
       13900       1.016430e-01       2.823555e-03       5.135757e-02       1.170377e+00       2.237188e-02       1.801604e-01
       14000       3.046920e-02       4.090007e-03       1.890524e-02       3.171983e-01       1.629358e-02       9.664849e-02
       14100       8.440992e-02       8.065205e-03       4.493230e-02       9.697767e-01       1.798726e-02       1.810321e-01
       14200       5.661696e-02       5.581167e-03       2.953114e-02       5.204469e-01       9.414953e-03       1.494244e-01
       14300       3.815911e-02       2.145754e-03       1.595947e-02       2.229236e-01       1.571828e-02       9.174305e-02
       14400       3.319041e-02       3.897218e-03       1.766782e-02       3.229004e-01       1.413186e-02       8.430996e-02
       14500       4.459012e-02       1.739038e-03       2.312200e-02       2.955491e-01       1.410596e-02       8.357431e-02
       14600       2.945127e-02       2.357388e-03       1.557941e-02       2.586742e-01       8.288423e-03       7.102529e-02
