#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
       18100       3.094954e-01       4.796660e-02       1.784464e-01       1.867519e+00       7.701757e-02       5.494730e-01
       18200       2.938021e-01       1.688916e-02       1.562818e-01       1.745746e+00       6.216316e-02       5.187433e-01
       18300       4.686473e-01       3.862274e-02       2.381125e-01       2.521144e+00       1.029771e-01       7.097228e-01
       18400       2.013473e-01       3.016649e-03       1.021837e-01       1.429864e+00       5.688023e-02       3.637590e-01
       18500       3.109012e-01       3.150808e-02       1.634914e-01       1.931681e+00       1.067783e-01       5.835297e-01
       18600       5.155164e-01       3.017811e-02       2.688084e-01       2.689329e+00       1.210386e-01       8.392950e-01
       18700       3.595642e-01       1.708564e-02       1.861913e-01       2.453235e+00       4.840482e-02       5.517777e-01
       18800       3.094908e-01       1.958805e-02       1.582300e-01       1.799989e+00       1.267628e-01       5.383500e-01
       18900       3.554367e-01       5.706110e-03       1.889709e-01       2.163645e+00       9.226483e-02       6.202407e-01
       19000       7.139365e-01       6.051038e-02       3.511475e-01       2.874393e+00       9.242205e-02       1.003515e+00
       19100       4.080927e-01       1.459804e-02       2.172765e-01       1.421545e+00       1.228000e-01       5.200330e-01
       19200       5.133035e-01       1.984264e-02       2.782002e-01       2.915219e+00       6.432012e-02       7.423746e-01
       19300       3.943758e-01       4.714697e-02       2.098936e-01       1.993708e+00       8.174415e-02       6.837995e-01
       19400       2.950202e-01       1.642982e-02       1.678536e-01       2.513045e+00       7.973413e-02       5.881150e-01
       19500       3.939903e-01       1.065067e-02       1.982694e-01       2.046667e+00       5.800361e-02       5.694856e-01
       19600       2.796177e-01       2.613366e-02       1.631214e-01       2.851332e+00       3.766158e-02       5.209570e-01
       19700       3.585243e-01       2.062408e-02       1.930363e-01       2.177267e+00       7.174836e-02       6.148507e-01
       19800       1.736614e-01       2.609621e-02       9.093483e-02       1.289897e+00       7.741132e-02       3.543498e-01
       19900       3.980585e-01       2.615959e-02       1.926399e-01       2.992234e+00       6.519064e-02       5.982342e-01
       20000       4.371935e-01       5.425279e-02       2.585120e-01       1.855337e+00       4.309028e-02       7.157228e-01
       20100       2.509005e-01       4.950519e-03       1.448057e-01       1.946548e+00       9.174772e-02       4.907362e-01
       20200       4.807755e-01       2.773573e-02       2.480298e-01       2.775837e+00       8.404431e-02       8.043347e-01
       20300       5.825543e-01       3.027558e-02       3.003579e-01       2.019408e+00       1.101780e-01       9.293374e-01
       20400       5.497295e-01       3.037802e-02       2.965890e-01       2.956569e+00       4.986660e-02       8.343071e-01
       20500       4.223386e-01       3.275852e-02       2.249307e-01       2.432360e+00       5.922660e-02       6.880270e-01
       20600       4.508036e-01       1.579929e-02       2.562811e-01       2.777167e+00       6.304420e-02       8.151560e-01
       20700       4.062686e-01       5.772107e-03       2.088137e-01       1.814705e+00       7.597422e-02       6.477827e-01
       20800       2.067382e-01       2.102201e-02       1.065448e-01       1.261468e+00       5.488504e-02       4.011755e-01
       20900       1.891801e-01       2.795595e-02       1.043445e-01       2.075846e+00       4.237997e-02       3.671229e-01
       21000       2.733467e-01       2.997933e-02       1.532878e-01       2.586532e+00       8.033729e-02       5.576070e-01
       21100       3.040448e-01       2.967421e-02       1.494146e-01       1.733618e+00       6.214743e-02       4.929843e-01
       21200       2.714623e-01       1.759819e-02       1.376924e-01       1.611244e+00       6.305645e-02       4.812084e-01
       21300       2.024882e-01       1.740767e-02       1.061236e-01       1.507440e+00       9.208163e-02       3.656860e-01
       21400       3.163715e-01       1.063614e-02       1.727884e-01       1.893251e+00       7.748382e-02       5.833796e-01
       21500       2.806943e-01       1.951072e-02       1.451229e-01       1.634394e+00       3.924938e-02       4.803427e-01
       21600       4.232967e-01       2.255625e-02       2.403455e-01       2.730395e+00       1.332785e-01       7.067914e-01
       21700       2.800538e-01       6.210048e-03       1.575493e-01       2.128920e+00       7.831432e-02       5.162961e-01
       21800       4.614573e-01       5.346676e-02       2.465656e-01       2.228480e+00       1.060126e-01       7.893220e-01
