#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  12200      1.05e-01    1.26e-01      2.79e-02    2.96e-02      3.14e-03    3.84e-03    4.7e-03
  12300      1.26e-01    1.77e-01      9.73e-03    8.59e-03      4.06e-03    5.72e-03    4.7e-03
  12400      1.37e-01    1.39e-01      5.18e-02    5.66e-02      3.67e-03    3.58e-03    4.7e-03
  12500      1.81e-01    1.55e-01      5.66e-02    5.78e-02      5.19e-03    4.20e-03    4.7e-03
  12600      1.12e-01    1.37e-01      1.37e-02    1.39e-02      3.59e-03    4.38e-03    4.7e-03
  12700      1.31e-01    1.23e-01      7.47e-03    2.95e-03      4.25e-03    3.98e-03    4.7e-03
  12800      2.28e-01    1.99e-01      1.05e-02    1.12e-02      7.37e-03    6.42e-03    4.7e-03
  12900      2.91e-01    3.94e-01      6.35e-02    6.81e-02      8.92e-03    1.24e-02    4.7e-03
  13000      2.22e-01    2.18e-01      1.03e-01    1.06e-01      5.19e-03    4.89e-03    4.7e-03
  13100      1.75e-01    1.19e-01      2.72e-02    2.73e-02      5.54e-03    3.62e-03    4.7e-03
  13200      1.15e-01    1.23e-01      1.03e-02    5.95e-03      3.69e-03    3.99e-03    4.7e-03
  13300      1.74e-01    1.74e-01      2.82e-02    2.84e-02      5.48e-03    5.49e-03    4.7e-03
  13400      1.20e-01    9.89e-02      1.95e-02    2.66e-02      3.77e-03    2.94e-03    4.7e-03
  13500      1.46e-01    1.24e-01      5.20e-02    4.97e-02      4.03e-03    3.23e-03    4.7e-03
  13600      1.36e-01    1.40e-01      3.54e-02    3.21e-02      4.06e-03    4.28e-03    4.7e-03
  13700      1.37e-01    1.83e-01      3.14e-03    8.83e-04      4.45e-03    5.94e-03    4.7e-03
  13800      2.51e-01    1.31e-01      4.04e-02    3.44e-02      7.91e-03    3.93e-03    4.7e-03
  13900      1.24e-01    1.20e-01      6.16e-03    4.89e-03      4.02e-03    3.88e-03    4.7e-03
  14000      1.36e-01    1.73e-01      4.53e-02    4.57e-02      3.84e-03    5.15e-03    4.7e-03
  14100      1.56e-01    1.66e-01      2.71e-02    2.04e-02      4.89e-03    5.29e-03    4.7e-03
  14200      1.15e-01    8.38e-02      7.62e-03    8.59e-03      3.71e-03    2.69e-03    4.7e-03
  14300      4.42e-01    4.41e-01      2.22e-01    2.21e-01      9.54e-03    9.54e-03    4.7e-03
  14400      1.30e-01    2.16e-01      3.12e-02    2.92e-02      3.93e-03    6.85e-03    4.7e-03
  14500      1.71e-01    1.23e-01      5.93e-03    5.28e-03      5.55e-03    3.97e-03    4.7e-03
  14600      1.06e-01    1.19e-01      7.89e-03    8.18e-03      3.41e-03    3.85e-03    4.7e-03
  14700      3.30e-01    2.83e-01      1.54e-01    1.52e-01      7.72e-03    5.53e-03    4.7e-03
  14800      1.23e-01    1.23e-01      2.70e-02    2.71e-02      3.78e-03    3.78e-03    4.7e-03
  14900      2.87e-01    2.36e-01      4.33e-03    6.96e-03      9.32e-03    7.66e-03    4.7e-03
  15000      1.87e-01    3.00e-01      7.14e-02    7.01e-02      4.98e-03    9.14e-03    4.7e-03
  15100      1.24e-01    1.55e-01      4.48e-02    4.60e-02      3.39e-03    4.52e-03    4.7e-03
  15200      1.61e-01    1.48e-01      4.48e-02    4.52e-02      4.77e-03    4.27e-03    4.7e-03
