#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  11600      2.52e-01    2.25e-01      4.58e-02    5.87e-02      7.87e-03    6.74e-03    4.7e-03
  11700      2.04e-01    1.67e-01      8.53e-02    6.43e-02      5.19e-03    4.46e-03    4.7e-03
  11800      2.88e-01    1.68e-01      2.98e-02    3.98e-02      9.23e-03    5.11e-03    4.7e-03
  11900      1.98e-01    1.33e-01      3.40e-02    1.58e-02      6.23e-03    4.25e-03    4.7e-03
  12000      1.23e-01    1.24e-01      1.59e-02    2.34e-03      3.91e-03    4.01e-03    4.7e-03
  12100      1.25e-01    1.25e-01      3.33e-02    3.04e-02      3.73e-03    3.78e-03    4.7e-03
  12200      2.15e-01    1.92e-01      2.82e-02    3.76e-02      6.83e-03    5.95e-03    4.7e-03
  12300      2.74e-01    2.69e-01      1.30e-01    1.19e-01      6.31e-03    6.59e-03    4.7e-03
  12400      1.53e-01    1.04e-01      8.88e-03    9.37e-03      4.95e-03    3.34e-03    4.7e-03
  12500      8.88e-02    1.14e-01      1.62e-02    3.47e-03      2.77e-03    3.70e-03    4.7e-03
  12600      2.55e-01    2.42e-01      2.42e-02    2.05e-02      8.18e-03    7.80e-03    4.7e-03
  12700      1.07e-01    9.27e-02      5.75e-03    8.54e-03      3.45e-03    2.98e-03    4.7e-03
  12800      1.06e-01    1.30e-01      1.66e-02    2.02e-02      3.36e-03    4.11e-03    4.7e-03
  12900      1.81e-01    1.75e-01      5.63e-02    5.14e-02      5.20e-03    5.10e-03    4.7e-03
  13000      1.12e-01    1.39e-01      3.01e-02    3.57e-02      3.34e-03    4.16e-03    4.7e-03
  13100      1.18e-01    8.76e-02      9.32e-03    7.97e-03      3.80e-03    2.82e-03    4.7e-03
  13200      1.31e-01    1.18e-01      8.22e-03    2.48e-02      4.22e-03    3.64e-03    4.7e-03
  13300      9.65e-02    1.38e-01      1.02e-02    7.27e-03      3.09e-03    4.47e-03    4.7e-03
  13400      1.80e-01    1.51e-01      5.29e-02    4.00e-02      5.24e-03    4.51e-03    4.7e-03
  13500      2.55e-01    1.32e-01      6.63e-03    1.80e-02      8.28e-03    4.20e-03    4.7e-03
  13600      1.18e-01    1.17e-01      2.14e-02    1.72e-03      3.70e-03    3.79e-03    4.7e-03
  13700      1.90e-01    1.15e-01      2.36e-02    1.59e-02      6.07e-03    3.64e-03    4.7e-03
  13800      1.16e-01    1.27e-01      4.33e-02    4.41e-02      3.13e-03    3.55e-03    4.7e-03
  13900      1.80e-01    1.79e-01      6.17e-02    5.96e-02      5.04e-03    5.03e-03    4.7e-03
  14000      1.11e-01    1.17e-01      5.02e-03    8.59e-03      3.59e-03    3.76e-03    4.7e-03
  14100      1.56e-01    1.23e-01      4.58e-02    4.96e-02      4.55e-03    3.18e-03    4.7e-03
  14200      4.27e-01    3.35e-01      5.84e-02    7.40e-02      1.36e-02    1.03e-02    4.7e-03
  14300      2.96e-01    1.02e-01      1.55e-02    1.64e-02      9.58e-03    3.21e-03    4.7e-03
  14400      1.42e-01    1.51e-01      3.06e-03    3.79e-03      4.62e-03    4.88e-03    4.7e-03
  14500      1.13e-01    1.14e-01      1.72e-02    2.53e-02      3.57e-03    3.47e-03    4.7e-03
  14600      1.29e-01    1.56e-01      5.71e-02    6.64e-02      3.17e-03    3.92e-03    4.7e-03
  14700      7.90e-01    9.50e-01      9.60e-02    9.63e-02      2.52e-02    3.05e-02    4.7e-03
  14800      1.97e-01    1.24e-01      1.02e-02    6.98e-03      6.36e-03    4.00e-03    4.7e-03
  14900      1.62e-01    2.28e-01      4.78e-02    4.57e-02      4.71e-03    7.07e-03    4.7e-03
  15000      2.36e-01    2.36e-01      1.97e-02    1.97e-02      7.60e-03    7.60e-03    4.7e-03
  15100      1.28e-01    1.35e-01      1.40e-04    1.45e-02      4.14e-03    4.32e-03    4.7e-03
  15200      1.19e-01    1.90e-01      7.61e-04    5.91e-03      3.86e-03    6.17e-03    4.7e-03
  15300      1.32e-01    1.19e-01      2.27e-02    2.01e-02      4.14e-03    3.74e-03    4.7e-03
  15400      2.36e-01    1.57e-01      2.96e-02    2.75e-02      7.51e-03    4.92e-03    4.7e-03
  15500      1.12e-01    1.18e-01      2.63e-02    9.86e-03      3.40e-03    3.80e-03    4.7e-03
  15600      1.38e-01    1.51e-01      2.96e-02    6.20e-02      4.25e-03    3.90e-03    4.7e-03
  15700      1.98e-01    1.42e-01      2.72e-02    2.80e-02      6.30e-03    4.40e-03    4.7e-03
  15800      1.15e-01    1.32e-01      1.53e-02    1.85e-02      3.66e-03    4.18e-03    4.7e-03
  15900      3.45e-01    2.28e-01      4.34e-02    4.47e-02      1.10e-02    7.08e-03    4.7e-03
  16000      2.07e-01    1.48e-01      1.22e-03    2.05e-03      6.73e-03    4.80e-03    4.7e-03
  16100      1.44e-01    8.63e-02      7.50e-03    1.92e-03      4.65e-03    2.80e-03    4.7e-03
  16200      1.48e-01    1.40e-01      8.61e-04    1.19e-02      4.82e-03    4.50e-03    4.7e-03
  16300      1.38e-01    1.16e-01      4.48e-02    4.60e-02      3.91e-03    3.05e-03    4.7e-03
  16400      1.10e-01    1.23e-01      2.20e-02    2.07e-02      3.40e-03    3.85e-03    4.7e-03
  16500      9.47e-02    9.16e-02      2.53e-02    1.66e-02      2.82e-03    2.86e-03    4.7e-03
  16600      1.02e-01    1.02e-01      9.17e-03    1.65e-02      3.29e-03    3.22e-03    4.7e-03
  16700      1.35e-01    1.24e-01      2.14e-02    1.74e-02      4.24e-03    3.94e-03    4.7e-03
  16800      1.38e-01    1.42e-01      3.04e-02    2.20e-02      4.23e-03    4.49e-03    4.7e-03
  16900      1.44e-01    1.28e-01      4.70e-02    5.82e-02      4.09e-03    3.07e-03    4.7e-03
  17000      1.12e-01    7.72e-02      3.48e-02    2.00e-02      3.21e-03    2.31e-03    4.7e-03
  17100      1.52e-01    1.38e-01      3.53e-02    3.34e-02      4.64e-03    4.16e-03    4.7e-03
  17200      1.89e-01    1.48e-01      1.11e-02    1.85e-02      6.11e-03    4.71e-03    4.7e-03
  17300      2.60e-01    1.45e-01      3.86e-02    2.67e-02      8.22e-03    4.53e-03    4.7e-03
  17400      9.12e-02    1.19e-01      1.43e-02    1.70e-02      2.88e-03    3.78e-03    4.7e-03
  17500      1.35e-01    1.85e-01      3.72e-03    1.37e-02      4.38e-03    5.97e-03    4.7e-03
  17600      1.61e-01    7.90e-02      2.53e-02    1.67e-02      5.08e-03    2.43e-03    4.7e-03
  17700      1.00e-01    8.33e-02      1.92e-02    1.64e-02      3.13e-03    2.58e-03    4.7e-03
  17800      8.06e-02    6.80e-02      1.44e-02    2.50e-03      2.52e-03    2.20e-03    4.7e-03
  17900      1.29e-01    1.03e-01      3.55e-02    3.27e-02      3.83e-03    2.96e-03    4.7e-03
  18000      1.18e-01    1.08e-01      2.40e-02    1.39e-02      3.65e-03    3.46e-03    4.7e-03
  18100      1.00e-01    1.15e-01      3.49e-02    3.32e-02      2.78e-03    3.37e-03    4.7e-03
  18200      1.65e-01    1.77e-01      2.82e-02    2.73e-02      5.17e-03    5.58e-03    4.7e-03
  18300      1.57e-01    1.50e-01      3.46e-02    3.38e-02      4.83e-03    4.58e-03    4.7e-03
  18400      1.29e-01    1.15e-01      1.58e-02    1.86e-02      4.12e-03    3.63e-03    4.7e-03
  18500      8.35e-02    9.02e-02      1.86e-02    1.48e-02      2.56e-03    2.84e-03    4.7e-03
  18600      1.34e-01    9.76e-02      3.81e-02    2.56e-02      3.94e-03    2.92e-03    4.7e-03
  18700      1.40e-01    9.04e-02      1.60e-02    1.47e-02      4.48e-03    2.85e-03    4.7e-03
  18800      9.63e-02    1.12e-01      2.80e-02    4.14e-02      2.82e-03    3.05e-03    4.7e-03
  18900      1.63e-01    1.23e-01      7.02e-02    4.72e-02      4.07e-03    3.27e-03    4.7e-03
  19000      1.63e-01    1.26e-01      7.03e-02    6.34e-02      4.08e-03    2.73e-03    4.7e-03
  19100      1.25e-01    9.15e-02      1.31e-02    1.85e-03      4.00e-03    2.97e-03    4.7e-03
  19200      1.72e-01    1.44e-01      1.03e-02    1.17e-02      5.55e-03    4.62e-03    4.7e-03
  19300      1.58e-01    1.07e-01      1.95e-02    2.04e-02      5.03e-03    3.33e-03    4.7e-03
  19400      1.32e-01    6.93e-02      1.01e-03    4.35e-03      4.30e-03    2.24e-03    4.7e-03
  19500      6.67e-02    6.44e-02      7.00e-03    8.34e-03      2.14e-03    2.05e-03    4.7e-03
  19600      1.12e-01    1.32e-01      6.38e-02    7.82e-02      1.92e-03    2.05e-03    4.7e-03
  19700      1.23e-01    1.25e-01      5.88e-02    7.41e-02      2.83e-03    1.94e-03    4.7e-03
  19800      5.22e-01    3.56e-01      3.54e-02    3.14e-02      1.69e-02    1.14e-02    4.7e-03
  19900      1.31e-01    1.03e-01      3.85e-02    1.68e-02      3.83e-03    3.23e-03    4.7e-03
  20000      7.31e-02    7.21e-02      1.35e-02    1.41e-02      2.28e-03    2.22e-03    4.5e-03
  20100      1.17e-01    1.13e-01      1.94e-02    2.31e-02      3.69e-03    3.47e-03    4.5e-03
  20200      1.15e-01    1.30e-01      2.90e-02    4.22e-02      3.34e-03    3.38e-03    4.5e-03
  20300      1.30e-01    7.14e-02      2.13e-02    1.49e-02      4.09e-03    2.18e-03    4.5e-03
  20400      7.80e-02    9.70e-02      1.94e-02    7.76e-03      2.28e-03    3.19e-03    4.5e-03
  20500      2.12e-01    1.45e-01      6.25e-02    6.01e-02      5.82e-03    2.94e-03    4.5e-03
  20600      1.47e-01    1.47e-01      6.40e-02    5.39e-02      2.66e-03    3.48e-03    4.5e-03
  20700      9.48e-02    8.87e-02      2.32e-02    3.00e-02      2.79e-03    2.24e-03    4.5e-03
  20800      7.85e-02    1.34e-01      1.59e-02    2.40e-02      2.40e-03    4.19e-03    4.5e-03
  20900      9.60e-02    8.01e-02      1.99e-02    2.58e-02      2.93e-03    2.09e-03    4.5e-03
  21000      2.85e-01    7.46e-02      1.34e-02    8.69e-03      9.43e-03    2.42e-03    4.5e-03
  21100      6.43e-02    7.00e-02      6.79e-03    6.55e-03      2.10e-03    2.29e-03    4.5e-03
  21200      1.37e-01    1.16e-01      1.86e-02    1.83e-02      4.39e-03    3.68e-03    4.5e-03
  21300      1.03e-01    1.31e-01      3.85e-02    5.08e-02      2.38e-03    2.91e-03    4.5e-03
  21400      9.75e-02    7.84e-02      2.61e-02    2.14e-02      2.78e-03    2.22e-03    4.5e-03
  21500      8.06e-02    1.00e-01      1.64e-02    1.31e-02      2.47e-03    3.22e-03    4.5e-03
  21600      8.98e-02    8.79e-02      2.97e-03    6.09e-03      2.98e-03    2.90e-03    4.5e-03
  21700      7.54e-02    8.87e-02      2.03e-02    7.49e-03      2.15e-03    2.91e-03    4.5e-03
  21800      5.64e-02    5.71e-02      6.94e-03    6.98e-03      1.82e-03    1.85e-03    4.5e-03
  21900      1.11e-01    8.41e-02      3.05e-02    2.59e-02      3.12e-03    2.25e-03    4.5e-03
  22000      9.49e-02    1.09e-01      2.77e-02    4.74e-03      2.62e-03    3.61e-03    4.5e-03
  22100      1.19e-01    6.74e-02      1.69e-02    1.15e-02      3.81e-03    2.12e-03    4.5e-03
  22200      1.08e-01    6.70e-02      6.66e-03    6.73e-04      3.57e-03    2.23e-03    4.5e-03
